cover_image,link_to_book,link_to_book/_text
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=3738569&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=3738569,Disney Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=3738568&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=3738568,Disney Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=4986430&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=4986430,Pip the Puppy Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=3611918&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=3611918,The Big Colourful Frog
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=7010623&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=7010623,Jolly Pirate Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=7226130&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=7226130,Father Christmas
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1194972&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1194972,Baby Moses
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1194974&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1194974,Noah's Ark
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128722&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128722,Save Humpy
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128787&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128787,Tilly Turtle
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128723&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128723,Monsoon Molly
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128789&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128789,Lift the Lid
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128725&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128725,Dolly Dolphin at Play School
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128791&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128791,Emily the Elephant and Her Friends
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=592906&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=592906,Scrub-a-Dub
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128788&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128788,The Throne
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128724&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128724,Lucky
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128790&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128790,Henry the Helpful Elephant
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=1128719&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=1128719,Croaky
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=439165&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=439165,Fish
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=234349&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=234349,The Lily Pad Race
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=247778&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=247778,Charlie Chomp Crocodile
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=240416&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=240416,Splash
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=234346&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=234346,On and Off
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=247775&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=247775,Happy Henry Hippo
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=911075&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=911075,Nessie's Bath Book
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=863556&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=863556,Wally Whale Special
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=863536&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=863536,Tingaling
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=863583&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=863583,This Little Piggy
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=863510&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=863510,Dolly Dolphin's Play School
