cover_image,link_to_book,link_to_book/_text
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9268842&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9268842,Rødhette og ulven
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9264064&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9264064,De tre små grisene
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=8978169&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=8978169,Her kommer Morten Minstemann
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=9202412&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=9202412,Lek og lær med Aldrimett
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=10471566&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=10471566,Ingrid fra morgen til kveld
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=6994918&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=6994918,Iver reiser
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=6932160&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=6932160,Emilie finner en saks
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=6925985&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=6925985,Lars sier hei
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=6695279&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=6695279,Den lille larven Aldrimett
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=8040399&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=8040399,Mummitrollets lille trillebok
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=8040364&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=8040364,"Hallo, Tassen!"
http://www.bokkilden.no/SamboWeb/servlet/VisBildeServlet?produktId=8007818&width=115,http://www.bokkilden.no/SamboWeb/produkt.do?produktId=8007818,Fra topp til tå
