pub_date,link_to_book/_text,link_to_book,author,publisher,
23/03/2010,GHOSTGIRL,http://www.casadellibro.com/libro-ghostgirl/9788466324014/1686580,TONYA HURLEY,PUNTO DE LECTURA,
23/04/2012,LA ZAPATERA PRODIGIOSA,http://www.casadellibro.com/libro-la-zapatera-prodigiosa/9788497404051/1987098,FEDERICO GARCIA LORCA,CASTALIA,
23/04/2013,LOS COLORES OLVIDADOS (NUEVA EDICION),http://www.casadellibro.com/libro-los-colores-olvidados-nueva-edicion/9788415149415/2107624,SILVIA GONZALEZ GUIRADO,PLAY ATTITUDE,
23/05/2011,FABLEHAVEN (VOL. III): LA PLAGA DE LA SOMBRA,http://www.casadellibro.com/libro-fablehaven-vol-iii-la-plaga-de-la-sombra/9788499182810/1858584,BRANDON MULL,ROCA EDITORIAL DE LIBROS,
23/05/2013,COMO DESEES (PREMIO ELLAS 2013),http://www.casadellibro.com/libro-como-desees-premio-ellas-2013/9788490430187/2094201,ANABEL BOTELLA,MONTENA,
23/05/2014,EL CONDE LUCANOR (CLASICOS ADAPTADOS),http://www.casadellibro.com/libro-el-conde-lucanor-clasicos-adaptados/9788431615345/1825666,DON JUAN MANUEL,VICENS-VIVES,
23/06/2008,MISION 02: EL TRAFICANTE,http://www.casadellibro.com/libro-mision-02-el-traficante/9788498381696/1207163,ROBERT MUCHAMORE,"SALAMANDRA (PUBLICACIONES Y EDICIONES SALAMANDRA, S.A.)",
23/06/2014,LA BESTIA (2ª ED.),http://www.casadellibro.com/libro-la-bestia-2-ed/9788494120596/2343117,ALEX FLINN,VERSATIL,
23/09/2014,CIUDAD DEL FUEGO CELESTIAL (CAZADORES DE SOMBRAS 6),http://www.casadellibro.com/libro-ciudad-del-fuego-celestial--cazadores-de-sombras-6/9788408131939/2349978,CASSANDRA CLARE,PLANETA,
23/10/2013,ELEANOR Y PARK,http://www.casadellibro.com/libro-eleanor-y-park/9788420415703/2203568,RAINBOW ROWELL,ALFAGUARA,
23/11/2010,EL CIRCULO PERFECTO,http://www.casadellibro.com/libro-el-circulo-perfecto/9788492687268/1815729,MORUENA ESTRINGANA,,
24/01/2005,DON QUIJOTE DE LA MANCHA (SELECCION),http://www.casadellibro.com/libro-don-quijote-de-la-mancha-seleccion/9788437622095/1008656,MIGUEL DE CERVANTES SAAVEDRA,CATEDRA,
24/01/2011,TORMENTO,http://www.casadellibro.com/libro-tormento/9788468200804/1826329,BENITO PEREZ GALDOS,VICENS-VIVES,
24/01/2012,GHOTSGIRL: LOCA POR AMOR,http://www.casadellibro.com/libro-ghotsgirl-loca-por-amor/9788466319287/1958396,TONYA HURLEY,PUNTO DE LECTURA,
24/01/2012,EL CLUB DE LOS CORAZONES SOLITARIOS,http://www.casadellibro.com/libro-el-club-de-los-corazones-solitarios/9788466325523/1958399,ELIZABETH EULBERG,PUNTO DE LECTURA,
24/01/2014,MITOS GRIEGOS,http://www.casadellibro.com/libro-mitos-griegos/9788497404860/2254607,VV.AA.,CASTALIA,
24/02/2015,AQUI CADA CUAL CON SUS COSAS: GUIA PARA LA VIDA,http://www.casadellibro.com/libro-aqui-cada-cual-con-sus-cosas-guia-para-la-vida/9788499984667/2473055,YELLOW MELLOW,TEMAS DE HOY,
24/03/2014,FULMINADA,http://www.casadellibro.com/libro-fulminada/9788493975067/2276386,JENNIFER BOSWORTH,NOCTURNA EDICIONES,
24/04/2013,NIGHT SCHOOL. EL LEGADO,http://www.casadellibro.com/libro-night-school-el-legado/9788420414188/2093735,C.J. DAUGHERTY,ALFAGUARA,
24/05/2011,CAZADORES DE SOMBRAS 4: CIUDAD DE LOS ANGELES CAIDOS,http://www.casadellibro.com/libro-cazadores-de-sombras-4-ciudad-de-los-angeles-caidos/9788408099574/1839727,CASSANDRA CLARE,PLANETA,
24/05/2012,MIRAME Y DISPARA (NOVELA GANADORA PREMIO ELLAS JUVENIL ROMANTICA),http://www.casadellibro.com/libro-mirame-y-dispara-novela-ganadora-premio-ellas-juvenil-romantica/9788484418788/1984523,ALESSANDRA NEYMAR,MONTENA,
24/05/2012,VAMPIRATAS 6: LA GUERRA MORTAL,http://www.casadellibro.com/libro-vampiratas-6-la-guerra-mortal/9788484418818/1985024,JUSTIN SOMPER,MONTENA,
24/09/2010,MEMORIAS DE IDHUN: PANTEON: GENESIS (VI),http://www.casadellibro.com/libro-memorias-de-idhun-panteon-genesis-vi/9788467535983/1779330,LAURA GALLEGO GARCIA,EDICIONES SM,
24/09/2014,"PERDIDO (SAGA TEMBLOR , Nº 4)",http://www.casadellibro.com/libro-perdido-saga-temblor--n-4/9788467574166/2371248,MAGGIE STIEFVATER,EDICIONES SM,
24/10/2008,25 CUENTOS POPULARES DE MIEDO,http://www.casadellibro.com/libro-25-cuentos-populares-de-miedo/9788498412451/1227664,ANA CRISTINA HERREROS,SIRUELA,
24/10/2012,BLESSED: LAS BENDECIDAS,http://www.casadellibro.com/libro-blessed-las-bendecidas/9788420403595/2032925,TONYA HURLEY,ALFAGUARA,
24/11/2000,MARIANELA: AUXILIAR BUP,http://www.casadellibro.com/libro-marianela-auxiliar-bup/9788431652753/740103,BENITO PEREZ GALDOS,VICENS-VIVES,
24/11/2014,PACK PARADISE/RETORNO PARADISE,http://www.casadellibro.com/libro-pack-paradiseretorno-paradise/9788494225741/2422719,SIMONE ELKELES,VERSATIL,
25/01/2011,LA LEY DE LA ATRACCION (CONTINUACION DE QUIMICA PERFECTA),http://www.casadellibro.com/libro-la-ley-de-la-atraccion-continuacion-de-quimica-perfecta/9788492929344/1820276,SIMONE ELKELES,VERSATIL,
