link_to_book/_text,cover_image/_alt,link_to_book,link_to_book/_title,cover_image
"Las novelas ejemplares de Cervantes (Biblioteca Escolar, en rústica) (BIBLIOTECA ESCOLAR CLÁSICOS CONTADOS A LOS...",Detalles del producto,http://www.amazon.es/ejemplares-Cervantes-Biblioteca-BIBLIOTECA-CL%C3%81SICOS/dp/8468307238/ref=sr_1_25/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-25,"Las novelas ejemplares de Cervantes (Biblioteca Escolar, en rústica) (BIBLIOTECA ESCOLAR CLÁSICOS CONTADOS A LOS NIÑOS)",http://ecx.images-amazon.com/images/I/51g%2Bx5kJjAL._AA200_.jpg
"LA HIJA DEL TUAREG, DE PACO VALLADARES (Periscopio)",Detalles del producto,http://www.amazon.es/HIJA-TUAREG-PACO-VALLADARES-Periscopio/dp/8468301604/ref=sr_1_26/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-26,"LA HIJA DEL TUAREG, DE PACO VALLADARES (Periscopio)",http://ecx.images-amazon.com/images/I/51tpxWgwJDL._AA200_.jpg
"Terror en la red I: El chico que vivía encerrado en una habitación, de Antonio Lozano y Álvaro Colomer",Detalles del producto,http://www.amazon.es/Terror-red-encerrado-habitaci%C3%B3n-Antonio/dp/8468307165/ref=sr_1_27/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-27,"Terror en la red I: El chico que vivía encerrado en una habitación, de Antonio Lozano y Álvaro Colomer","http://ecx.images-amazon.com/images/I/41bN7xw9qCL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
Demana'm la lluna (PERISCOPI),Detalles del producto,http://www.amazon.es/Demanam-lluna-PERISCOPI-Santos-Torres/dp/8423683524/ref=sr_1_28/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-28,Demana'm la lluna (PERISCOPI),http://ecx.images-amazon.com/images/I/41fyAmdm4KL._AA200_.jpg
VOY SOBRE RUEDAS (Tucan naranja),Detalles del producto,http://www.amazon.es/VOY-SOBRE-RUEDAS-Tucan-naranja/dp/842368699X/ref=sr_1_29/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-29,VOY SOBRE RUEDAS (Tucan naranja),http://ecx.images-amazon.com/images/I/51ebSkOfKKL._AA200_.jpg
Allà on sigui el meu cor (Periscopi),Detalles del producto,http://www.amazon.es/All%C3%A0-sigui-meu-cor-Periscopi/dp/8423676803/ref=sr_1_30/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-30,Allà on sigui el meu cor (Periscopi),"http://ecx.images-amazon.com/images/I/51HQdH%2B0xzL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
La tumba de Aurora K. (Premio EDEBÉ juvenil 2014) (Periscopio),Detalles del producto,http://www.amazon.es/tumba-Aurora-Premio-juvenil-Periscopio-ebook/dp/B00NC8TNY6/ref=sr_1_31/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-31,La tumba de Aurora K. (Premio EDEBÉ juvenil 2014) (Periscopio),"http://ecx.images-amazon.com/images/I/51z7mipeb2L._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
AL SUR DE NINGUNA PARTE (Periscópio),Detalles del producto,http://www.amazon.es/AL-SUR-NINGUNA-PARTE-Perisc%C3%B3pio-ebook/dp/B00NC8TOQS/ref=sr_1_32/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-32,AL SUR DE NINGUNA PARTE (Periscópio),"http://ecx.images-amazon.com/images/I/414kjctjmjL._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
EL VUELO DEL BLUE SHADOW (Periscopio),Detalles del producto,http://www.amazon.es/VUELO-DEL-BLUE-SHADOW-Periscopio-ebook/dp/B00NC8TOBS/ref=sr_1_33/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-33,EL VUELO DEL BLUE SHADOW (Periscopio),"http://ecx.images-amazon.com/images/I/41-HE0GCP-L._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
TIGRE BLANCO 3: El dilema del Tigre Blanco,Detalles del producto,http://www.amazon.es/TIGRE-BLANCO-dilema-Tigre-Blanco-ebook/dp/B00NC8TOOK/ref=sr_1_34/275-4884358-2156900?s=books&ie=UTF8&qid=1422595723&sr=1-34,TIGRE BLANCO 3: El dilema del Tigre Blanco,"http://ecx.images-amazon.com/images/I/51rQflwmkML._SL200_PIsitb-sticker-arrow-dp,TopRight,12,-18_SH30_OU30_AA200_.jpg"
