pub_date,link_to_book/_text,link_to_book,author,publisher
10/02/2012,Les chiffres,http://www.decitre.fr/livres/les-chiffres-9782215115205.html,"Jacques Beaumont, Mélusine Allirol",Fleurus
10/02/2012,Le papillon,http://www.decitre.fr/livres/le-papillon-9782740429228.html,"Dreaming Green, Hee-jeong Yi",Mango Jeunesse
10/02/2012,L'abeille,http://www.decitre.fr/livres/l-abeille-9782740429235.html,"Dreaming Green, Su-bok Choi",Mango Jeunesse
10/02/2012,Mon coffre à jouets. 1 livre et 9 cubes puzzle,http://www.decitre.fr/livres/mon-coffre-a-jouets-9782740429266.html,Julie Fletcher,Mango Jeunesse
10/02/2012,L'âne blanc avec 1 CD audio,http://www.decitre.fr/livres/l-ane-blanc-9782918911227.html,"Henri Dès, Cécile Gambini",Braques (Les Editions des)
10/02/2012,Toi et moi. 1 livre et 9 cubes puzzle,http://www.decitre.fr/livres/toi-et-moi-9782740429273.html,Ana Martin Larrañaga,Mango Jeunesse
10/02/2012,Les héros du 18 Tome 1 Un mystérieux incendiaire,http://www.decitre.fr/livres/les-heros-du-18-tome-1-un-mysterieux-incendiaire-9782081270015.html,Anne-Marie Desplat-Duc,Flammarion
10/02/2012,Les héros du 18 Tome 2 Prisonniers des flammes,http://www.decitre.fr/livres/les-heros-du-18-tome-2-prisonniers-des-flammes-9782081270022.html,Anne-Marie Desplat-Duc,Flammarion
10/02/2012,Les Aventurêves Tome 1 L'union fait la force,http://www.decitre.fr/livres/les-aventureves-tome-1-l-union-fait-la-force-9782215107736.html,Carole Bonnet,Fleurus
10/02/2012,L'alphabet,http://www.decitre.fr/livres/l-alphabet-9782215114406.html,"Jacques Beaumont, Mélusine Allirol","[""Fleurus"", ""Jeunesse""]"
10/02/2012,La ferme,http://www.decitre.fr/livres/la-ferme-9782215114413.html,"Jacques Beaumont, Mélusine Allirol",Fleurus
10/02/2012,Sacré dimanche !,http://www.decitre.fr/livres/sacre-dimanche-9782215114437.html,Christine Sagnier,Fleurus
10/02/2012,Tout ça... pour ça !,http://www.decitre.fr/livres/tout-ca-9782215114444.html,"Christine Sagnier, Caroline Hesnard",Fleurus
10/02/2012,Les saisons,http://www.decitre.fr/livres/les-saisons-9782215117452.html,"Juliette Parachini-Deny, Virginie Martins-B",Fleurus
10/02/2012,La journée,http://www.decitre.fr/livres/la-journee-9782215117469.html,"Juliette Parachini-Deny, Elen Lescoat",Fleurus
10/02/2012,Pourquoi Moi ?,http://www.decitre.fr/livres/pourquoi-moi-9782362310362.html,Kimberly Pauley,"[""Castelmore"", ""E-book""]"
10/02/2012,Apocalypse Zombie,http://www.decitre.fr/livres/apocalypse-zombie-9782362310423.html,Jonathan Maberry,"[""Castelmore"", ""E-book""]"
10/02/2012,Léonard Tome 42 Le génie des grandeurs,http://www.decitre.fr/livres/leonard-tome-42-le-genie-des-grandeurs-9782803629602.html,"Turk, Bob De Groot","[""Lombard"", ""E-book""]"
10/02/2012,Kû et Kaï. 2 vrais héros,http://www.decitre.fr/livres/ku-et-kai-9782915517736.html,326,IMHO Editions
10/02/2012,Pays des morts Tome 1 Les Landes d'Amevignes,http://www.decitre.fr/livres/pays-des-morts-tome-1-les-landes-d-amevignes-9782362310409.html,Anna Kendall,Castelmore
10/02/2012,Le chat,http://www.decitre.fr/livres/le-chat-9782740429204.html,"Choroki, Ji-yeon Lim",Mango Jeunesse
10/02/2012,Les Romains,http://www.decitre.fr/livres/les-romains-9782215106654.html,"Jack Beaumont, Sylvie Deraime",Fleurus
10/02/2012,Les Aventurêves Tome 2 Qui s'y frotte s'y pique,http://www.decitre.fr/livres/les-aventureves-tome-2-qui-s-y-frotte-s-y-pique-9782215107743.html,Carole Bonnet,Fleurus
10/02/2012,La mer,http://www.decitre.fr/livres/la-mer-9782215114390.html,"Jacques Beaumont, Mélusine Allirol",Fleurus
10/02/2012,Les jouets,http://www.decitre.fr/livres/les-jouets-9782215114543.html,"Emilie Beaumont, Nathalie Bélineau, Christelle Mekdjian",Fleurus
10/02/2012,Les couleurs,http://www.decitre.fr/livres/les-couleurs-9782215117476.html,"Juliette Parachini-Deny, Elen Lescoat",Fleurus
10/02/2012,Les animaux de la ferme,http://www.decitre.fr/livres/les-animaux-de-la-ferme-9782215117483.html,"Juliette Parachini-Deny, Maëlle C",Fleurus
10/02/2012,Lili est harcelée à l'école,http://www.decitre.fr/livres/lili-est-harcelee-a-l-ecole-9782884806206.html,"Serge Bloch, Dominique de Saint Mars",Calligram
10/02/2012,La disparition,http://www.decitre.fr/livres/la-disparition-9782352891352.html,Dominique Frasson-Cochet,MeMo (Editions)
