link_to_book/_source,link_to_book/_text,cover_image/_title,cover_image/_alt,cover_image/_source,link_to_book,link_to_book/_title,cover_image
/nl/p/the-pointless-book/9200000035988927/,The Pointless Book,The Pointless Book,The Pointless Book,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/7/2/9/8/9200000035988927.jpg,http://www.bol.com/nl/p/the-pointless-book/9200000035988927/,The Pointless Book,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/7/2/9/8/9200000035988927.jpg
/nl/p/zwarte-magie/9200000035988864/,Zwarte magie,Zwarte magie,Zwarte magie,//s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/6/8/8/9200000035988864.jpg,http://www.bol.com/nl/p/zwarte-magie/9200000035988864/,Zwarte magie,http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/4/6/8/8/9200000035988864.jpg
/nl/p/honger/9200000011356603/,Honger,Honger,Honger,//s.s-bol.com/imgbase0/imagebase/thumb/FC/3/0/6/6/9200000011356603.jpg,http://www.bol.com/nl/p/honger/9200000011356603/,Honger,http://s.s-bol.com/imgbase0/imagebase/thumb/FC/3/0/6/6/9200000011356603.jpg
/nl/p/de-tovervinger/1001004002097572/,De Tovervinger,De Tovervinger,De Tovervinger,//s.s-bol.com/imgbase0/imagebase/thumb/FC/2/7/5/7/1001004002097572.jpg,http://www.bol.com/nl/p/de-tovervinger/1001004002097572/,De Tovervinger,http://s.s-bol.com/imgbase0/imagebase/thumb/FC/2/7/5/7/1001004002097572.jpg
/nl/p/de-nevelprins/9200000035871408/,De nevelprins,"[""De nevelprins"", nil]","[""De nevelprins"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/0/4/1/9200000035871408.jpg"", nil]",http://www.bol.com/nl/p/de-nevelprins/9200000035871408/,De nevelprins,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/8/0/4/1/9200000035871408.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/het-middernachtspaleis/9200000035871241/,Het middernachtspaleis,"[""Het middernachtspaleis"", nil]","[""Het middernachtspaleis"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/1/4/2/1/9200000035871241.jpg"", nil]",http://www.bol.com/nl/p/het-middernachtspaleis/9200000035871241/,Het middernachtspaleis,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/1/4/2/1/9200000035871241.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/middernacht/9200000038695241/,Middernacht,"[""Middernacht"", nil]","[""Middernacht"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/1/4/2/5/9200000038695241.jpg"", nil]",http://www.bol.com/nl/p/middernacht/9200000038695241/,Middernacht,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/1/4/2/5/9200000038695241.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/brand-in-berlijn/1001004002378575/,Brand in Berlijn,"[""Brand in Berlijn"", nil]","[""Brand in Berlijn"", nil]","[""//s.s-bol.com/imgbase0/imagebase/thumb/FC/5/7/5/8/1001004002378575.jpg"", nil]",http://www.bol.com/nl/p/brand-in-berlijn/1001004002378575/,Brand in Berlijn,"[""http://s.s-bol.com/imgbase0/imagebase/thumb/FC/5/7/5/8/1001004002378575.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/spijt/9200000024508833/,Spijt!,"[""Spijt!"", nil]","[""Spijt!"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/3/3/8/8/9200000024508833.jpg"", nil]",http://www.bol.com/nl/p/spijt/9200000024508833/,Spijt!,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/3/3/8/8/9200000024508833.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/gevaar-in-de-graftombe/9200000030255177/,Gevaar in de graftombe,"[""Gevaar in de graftombe"", nil]","[""Gevaar in de graftombe"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/7/7/1/5/9200000030255177.jpg"", nil]",http://www.bol.com/nl/p/gevaar-in-de-graftombe/9200000030255177/,Gevaar in de graftombe,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/7/7/1/5/9200000030255177.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/booster/9200000035610645/,Booster,"[""Booster"", nil]","[""Booster"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/5/4/6/0/9200000035610645.jpg"", nil]",http://www.bol.com/nl/p/booster/9200000035610645/,Booster,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/5/4/6/0/9200000035610645.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
/nl/p/het-legendarisch-labyrint/9200000030255139/,Het legendarisch labyrint,"[""Het legendarisch labyrint"", nil]","[""Het legendarisch labyrint"", nil]","[""//s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/3/1/5/9200000030255139.jpg"", nil]",http://www.bol.com/nl/p/het-legendarisch-labyrint/9200000030255139/,Het legendarisch labyrint,"[""http://s.s-bol.com/imgbase0/imagebase3/thumb/FC/9/3/1/5/9200000030255139.jpg"", ""http://s.s-bol.com/nl/static/images/main/tool_tip.gif""]"
