image,book_page_url,title,pub_date,series,author,isbn,format,publisher,language,page,title,category
http://ecx.images-amazon.com/images/I/61NIzjLBQsL._AA160_.jpg,http://www.amazon.it/Astronavi-Costruisco-con-gli-adesivi/dp/1409578526/ref=sr_1_21/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-21,Astronavi. Costruisco con gli adesivi,– 27 ago 2014,,"di Simon Tudhope (Autore), Adrian Mann (Autore), M. Bogliolo (Traduttore) & 0 altro",ISBN-13: 978-1409578529,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 34 pagine,Astronavi. Costruisco con gli adesivi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/51cZmxtI33L._AA160_.jpg,http://www.amazon.it/Come-vestono-eroi-azione-adesivi/dp/1409578674/ref=sr_1_22/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-22,Come si vestono... gli eroi in azione? Con adesivi,– 27 ago 2014,,"di Lisa J. Gillespie (Autore), Megan Cullis (Autore), E. Ordas (Illustratore), P. A. Livorati (Traduttore), E. Ranzoni (Traduttore) & 2 altro",ISBN-13: 978-1409578673,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 68 pagine,Come si vestono... gli eroi in azione? Con adesivi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/61P03p00E%2BL._AA160_.jpg,http://www.amazon.it/scuola-Chi-cerca-trova-adesivi/dp/1409578453/ref=sr_1_23/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-23,A scuola. Chi cerca trova. Con adesivi,– 27 ago 2014,,"di Katie Daynes (Autore), Sigrid Martinez (Autore), M. Baietto (Traduttore) & 0 altro",ISBN-13: 978-1409578451,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 32 pagine,A scuola. Chi cerca trova. Con adesivi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/41uQycaE1mL._AA160_.jpg,http://www.amazon.it/nave-pirata-Stowell-Louie/dp/1409528286/ref=sr_1_24/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-24,La nave pirata,– 13 lug 2011,,di Stowell Louie (Autore),ISBN-13: 978-1409528289,Copertina rigida,Editore: USBORNE PUBLISHING (13 luglio 2011),Lingua: Italiano,Copertina rigida: 14 pagine,La nave pirata,Libri > Libri per bambini e ragazzi > Libri illustrati Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/311MMk5bZWL._AA160_.jpg,http://www.amazon.it/Linnamorato-R%C3%A9becca-Dautremer/dp/8817021008/ref=sr_1_25/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-25,L'innamorato,– 1 gen 2030,,"di Rébecca Dautremer (Autore), C. Britannici (Traduttore)",ISBN-13: 978-8817021005,Copertina rigida,Editore: Rizzoli; 4 edizione (1 gennaio 2030),Lingua: Italiano,Copertina rigida: 36 pagine,L'innamorato,Libri > Libri per bambini e ragazzi > Libri illustrati
http://ecx.images-amazon.com/images/I/61Kl%2B650UzL._AA160_.jpg,http://www.amazon.it/trovare-paese-delle-fate-adesivi/dp/1409581101/ref=sr_1_26/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-26,1000 cose da trovare nel paese delle fate. Con adesivi,– 27 ago 2014,,"di Gillian Doherty (Autore), Teri Gower (Autore), E. Guastella (Traduttore) & 0 altro",ISBN-13: 978-1409581109,Copertina flessibile,Editore: Usborne Publishing (27 agosto 2014),,Copertina flessibile: 32 pagine,1000 cose da trovare nel paese delle fate. Con adesivi,Libri > Libri per bambini e ragazzi > Libri interattivi
http://ecx.images-amazon.com/images/I/51AawFIYzjL._AA160_.jpg,http://www.amazon.it/fattoria-Fiona-Watt/dp/1409528340/ref=sr_1_27/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-27,La fattoria,– 1 gen 2030,Collana: Libri per il passeggino,"di Fiona Watt (Autore), S. Baggott (Illustratore)",ISBN-13: 978-1409528340,Copertina rigida,Editore: Usborne Publishing (1 gennaio 2030),Lingua: Italiano,Copertina rigida: 10 pagine,La fattoria,Libri > Libri per bambini e ragazzi > Libri illustrati
http://ecx.images-amazon.com/images/I/71GJldnHydL._AA160_.jpg,http://www.amazon.it/La-bella-addormentata-nel-bosco/dp/885220119X/ref=sr_1_28/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-28,La bella addormentata nel bosco,– 1 gen 2030,,di Peyo (Autore),ISBN-13: 978-8897965459,Copertina rigida,Editore: Linea Chiara (1 gennaio 2030),,Copertina rigida: 64 pagine,Le dodici fatiche di Poldino Spaccaferro. Poldino Spaccaferro: 3,Libri > Libri per bambini e ragazzi > Fumetti e manga
http://g-ecx.images-amazon.com/images/G/29/x-site/icons/no-img-lg._AA160_.gif,http://www.amazon.it/dodici-fatiche-Poldino-Spaccaferro-Spaccaferro/dp/8897965458/ref=sr_1_29/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-29,Le dodici fatiche di Poldino Spaccaferro. Poldino Spaccaferro: 3,– 1 gen 2030,Collana: Disney classics,,ISBN-13: 978-8852201196,Copertina flessibile,Editore: Walt Disney Company Italia (1 gennaio 2030),Lingua: Italiano,Copertina flessibile: 96 pagine,La bella addormentata nel bosco,Libri > Libri per bambini e ragazzi
http://ecx.images-amazon.com/images/I/51fUIs9nuxL._AA160_.jpg,http://www.amazon.it/grande-libro-animato-corpo-umano/dp/8817041831/ref=sr_1_30/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-30,Il grande libro animato del corpo umano,– 1 gen 2030,,"di Pascale Hédelin (Autore), Stéphanie Herrbach (Autore)",ISBN-13: 978-8817041836,Copertina flessibile,Editore: Rizzoli (1 gennaio 2030),Lingua: Italiano,Copertina flessibile,Il grande libro animato del corpo umano,"Libri > Libri per bambini e ragazzi > Scienze, natura e tecnologia"
http://ecx.images-amazon.com/images/I/51mA8knbkAL._AA160_.jpg,http://www.amazon.it/101-primi-giochi-3-5-anni/dp/9461952252/ref=sr_1_31/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-31,101 primi giochi. 3-5 anni,– 1 gen 2030,Collana: Gli educativi,,ISBN-13: 978-9461952257,Copertina flessibile,Editore: Yoyo Books (1 gennaio 2030),Lingua: Inglese,Copertina flessibile: 96 pagine,101 primi giochi. 3-5 anni,"Libri > Libri per bambini e ragazzi > Giochi, giocattoli e attività ricreativa Libri > Libri per bambini e ragazzi > Primo apprendimento"
http://ecx.images-amazon.com/images/I/51GFeEV5wLL._AA160_.jpg,http://www.amazon.it/101-primi-giochi-4-6-anni/dp/9461952279/ref=sr_1_32/277-3342045-1894534?s=books&ie=UTF8&qid=1414921822&sr=1-32,101 primi giochi. 4-6 anni. Blu,– 1 gen 2030,Collana: Gli educativi,,ISBN-13: 978-9461952271,Copertina flessibile,Editore: Yoyo Books (1 gennaio 2030),Lingua: Inglese,Copertina flessibile: 96 pagine,101 primi giochi. 4-6 anni. Blu,"Libri > Libri per bambini e ragazzi > Giochi, giocattoli e attività ricreativa Libri > Libri per bambini e ragazzi > Primo apprendimento"
