0/pub_date,0/author,0/isbn,0/publisher,0/language,0/title,0/isbn/0,0/isbn/1
出版日期：2001/04/23,村上春樹，安西水丸/著,ISBN：9571333662,出版地：台灣,語言：繁體中文,日出國的工場,,
出版日期：1996/11/11,村上春樹,ISBN：9571321982,出版地：台灣,語言：繁體中文,舞，舞，舞(上),,
出版日期：1996/11/11,村上春樹,ISBN：9571321990,出版地：台灣,語言：繁體中文,舞，舞，舞(下),,
出版日期：2009/06/04,村上春樹,ISBN：9789571350288,出版地：台灣,語言：繁體中文,聽風的歌（30週年紀念版）,,
出版日期：2010/03/16,東尼．帕森斯,ISBN：9789866285417,出版地：台灣,語言：繁體中文,那些男人的故事,,
出版日期：2007/11/05,村上春樹,ISBN：9789571347455,出版地：台灣,語言：繁體中文,村上朝日堂反擊,,
出版日期：1996/05/21,村上春樹,ISBN：9571320331,出版地：台灣,語言：繁體中文,夜之蜘蛛猴,,
出版日期：2007/11/05,村上春樹,ISBN：9789571347462,出版地：台灣,語言：繁體中文,村上朝日堂嗨?!,,
出版日期：1995/09/26,村上春樹,ISBN：957131837X,出版地：台灣,語言：繁體中文,發條鳥年代記(二)──預言鳥篇,,
出版日期：2014/08/11,村上春樹,ISBN：9789571360348,出版地：台灣,語言：繁體中文,圖書館奇譚,,
出版日期：1999/03/22,村上春樹，松村映三,ISBN：9571328618,出版地：台灣,語言：繁體中文,邊境‧近境,,
出版日期：1999/08/23,村上春樹,ISBN：9571329614,出版地：台灣,語言：繁體中文,螢火蟲,,
出版日期：2014/07/21,吉田修一,ISBN：9789571360225,出版地：台灣,語言：繁體中文,和她的二次相遇,,
出版日期：2007/09/14,村上春樹,ISBN：9789571347189,出版地：台灣,語言：繁體中文,尋找漩渦貓的方法,,
出版日期：1998/12/02,村上春樹,ISBN：9571327808,出版地：台灣,語言：繁體中文,開往中國的慢船,,
出版日期：2009/02/12,理查．葉慈,,出版地：台灣,語言：繁體中文,真愛旅程,愛，即便已是說出口的承諾，仍可能永遠令人疑惑。 文／幾存2009年03月09日 剛看完《真愛旅程》的電影時，我始終抗拒翻開小說。因為，我實在不知道該拿這個令人心碎的故事如何是好。然而，透過作者理查．葉慈純熟的文字刻畫，的確又瞭解《真愛旅程》裡的男女主角法蘭克和艾波多一些－－即便這樣的瞭解十分殘忍，即便我們會看見他們可悲或可憎的一面，卻也同時對他們的痛楚和無奈有 more,ISBN：9789571349794
出版日期：2013/11/02,強納森‧崔普爾,ISBN：9789865922337,出版地：台灣,語言：繁體中文,在我離開之前,,
出版日期：2011/07/21,海明威,ISBN：9789861467979,出版地：台灣,語言：繁體中文,沒有女人的男人【全新譯校】,,
出版日期：2012/08/13,村上春樹,ISBN：9789571356341,出版地：台灣,語言：繁體中文,睡,,
出版日期：1997/02/25,村上春樹,ISBN：9571322466,出版地：台灣,語言：繁體中文,發條鳥年代記(三)──刺鳥人篇,,
出版日期：1998/06/09,村上春樹,ISBN：9571325651,出版地：台灣,語言：繁體中文,地下鐵事件,,
出版日期：2014/08/02,嘉布莉•麗文,ISBN：9789862726372,出版地：台灣,語言：繁體中文,A. J. 的書店人生,,
出版日期：1995/08/15,村上春樹,ISBN：9571317853,出版地：台灣,語言：繁體中文,尋羊冒險記,,
出版日期：2012/11/12,村上春樹,ISBN：9789571356730,出版地：台灣,語言：繁體中文,村上收音機 2：大蕪菁、難挑的酪梨,,
出版日期：2012/11/12,村上春樹,ISBN：9789571356723,出版地：台灣,語言：繁體中文,村上收音機,,
出版日期：2013/08/05,村上春樹,ISBN：9789571358017,出版地：台灣,語言：繁體中文,襲擊麵包店,,
,村上春樹,叢書系列：組合書,,,1Q84 精裝套書(1＋2＋3),,
,安東妮亞．奈爾森,ISBN：9789866996627,出版地：台灣,,女人麻煩,,
出版日期：1998/09/22,村上春樹，和田誠/著,ISBN：9571326976,出版地：台灣,語言：繁體中文,爵士群像,,
出版日期：1998/02/17,村上春樹,ISBN：9571324906,出版地：台灣,語言：繁體中文,萊辛頓的幽靈,,
出版日期：1992/02/25,村上春樹/著,ISBN：957131577X,出版地：台灣,語言：繁體中文,遇見100%的女孩,,
出版日期：1997/06/10,村上春樹,ISBN：9571323004,出版地：台灣,語言：繁體中文,挪威的森林,,
出版日期：2011/01/03,村上春樹,ISBN：9789571353104,出版地：台灣,語言：繁體中文,村上朝日堂是如何鍛鍊的,,
出版日期：2000/01/17,村上春樹,ISBN：9571330507,出版地：台灣,語言：繁體中文,電視人,,
出版日期：2013/01/21,村上春樹,ISBN：9789571356747,出版地：台灣,語言：繁體中文,村上收音機三書,,
出版日期：1995/09/26,村上春樹,ISBN：9571318361,出版地：台灣,語言：繁體中文,發條鳥年代記(一)──鵲賊篇,,
出版日期：2011/11/02,艾力克．菲耶,,出版地：台灣,語言：繁體中文,長崎,最可怕的，莫過於，自己原形畢露的人生。 文／幾存2011年11月09日 志村先生獨自居住一棟面眺長崎造船廠的房子裡，他在城裡的氣象站上班，喜歡獨處的他，總是盡可能的避開同事間的應酬，下班後早早回家，在該吃飯的時候吃飯，該睡覺的時候睡覺，過著井然有序而平淡無味的日子。 這天，他因為發燒，於是比平常早一點回到了家，但是就在進門的那一瞬間，他竟有一種闖空門 more,ISBN：9789868729551
出版日期：2011/11/11,尼克．宏比,ISBN：9789861736921,出版地：台灣,語言：繁體中文,失戀排行榜,,
出版日期：2013/01/21,村上春樹,ISBN：9789571357034,出版地：台灣,語言：繁體中文,村上收音機 3：喜歡吃沙拉的獅子,,
出版日期：2013/08/08,喬詹．蘭德斯,ISBN：9789862724262,出版地：台灣,語言：繁體中文,2052：下一個40年的全球生態、經濟與人類生活總預測,,
,楊照,ISBN：9789868657595,出版地：台灣,,永遠的少年：村上春樹與海邊的卡夫卡,,
出版日期：2012/04/06,大衛．布魯克斯,ISBN：9789862721223,出版地：台灣,語言：繁體中文,社會性動物：愛、性格與成就的來源,,
出版日期：2014/10/03,米爾頓．艾茲拉提,ISBN：9789863422280,出版地：台灣,語言：繁體中文,晚退休時代：轉型超高齡社會未來關鍵30年，我們如何工作，怎麼生活？,,
,黃春明,ISBN：9789575228309,出版地：台灣,,放生（黃春明作品集4）,,
,林宗弘、洪敬舒、李健鴻、王兆慶 、張烽益,ISBN：9789579804196,,,崩世代：財團化、貧窮化與少子女化的危機,,
出版日期：2014/02/08,伊藤真,ISBN：9789862725290,出版地：台灣,語言：繁體中文,記憶的技術：日本司法補習界王牌講師，親自傳授獨門記憶法，你也可以練出過目不忘的絕佳記憶力！,,
出版日期：2012/08/24,凱莉．麥高尼格,,出版地：台灣,語言：繁體中文,輕鬆駕馭意志力：史丹佛大學最受歡迎的心理素質課,我們不是沒有意志力，只不過偶爾節食失敗戀情出軌。 文／瑪塞林2012年10月04日 我一向不相信勵志書，總覺得如果相信成功就會成功，那全世界的人早就都心想事成、天下太平。所以當初看到這個書名《輕鬆駕馭意志力：史丹佛大學最受歡迎的心理素質課》，文案還寫著意志力像肌肉一樣可以鍛鍊，看起來就像典型的勵志書，好像大家都該買一本保平安但能實際拿來發揮作用的卻沒有幾人，直到某 more,ISBN：9789861341941
出版日期：2007/03/26,山崎豐子,ISBN：9789573323129,出版地：台灣,語言：繁體中文,華麗一族（中）,,
,陳膺宇,ISBN：9789862724606,出版地：台灣,,考典,,
,陳膺宇,ISBN：9789862726716,出版地：台灣,,考典2：國考、公職、銀行、研究所、各類證照、國營事業必勝全攻略,,
