cover_image,link_to_book,link_to_book/_text
"[""http://image.bokus.com/images2/9789152321140_small_uppdrag-x-blaa-bockerna-tema-under-vara-fotter"", ""http://image.bokus.com/images2/9789152321140_small_uppdrag-x-blaa-bockerna-tema-under-vara-fotter""]",http://www.bokus.com/bok/9789152321140/uppdrag-x-blaa-bockerna-tema-under-vara-fotter/,Uppdrag X - Blåa böckerna Tema Under våra fötter
"[""http://image.bokus.com/images2/9789152321157_small_uppdrag-x-blaa-bockerna-tema-masker-och-forkladnader"", ""http://image.bokus.com/images2/9789152321157_small_uppdrag-x-blaa-bockerna-tema-masker-och-forkladnader""]",http://www.bokus.com/bok/9789152321157/uppdrag-x-blaa-bockerna-tema-masker-och-forkladnader/,Uppdrag X - Blåa böckerna Tema Masker och förklädnader
"[""http://image.bokus.com/images2/9789152321164_small_uppdrag-x-blaa-bockerna-tema-full-fart"", ""http://image.bokus.com/images2/9789152321164_small_uppdrag-x-blaa-bockerna-tema-full-fart""]",http://www.bokus.com/bok/9789152321164/uppdrag-x-blaa-bockerna-tema-full-fart/,Uppdrag X - Blåa böckerna Tema Full fart
"[""http://image.bokus.com/images2/9789152321171_small_uppdrag-x-blaa-bockerna-tema-starka-forsvar"", ""http://image.bokus.com/images2/9789152321171_small_uppdrag-x-blaa-bockerna-tema-starka-forsvar""]",http://www.bokus.com/bok/9789152321171/uppdrag-x-blaa-bockerna-tema-starka-forsvar/,Uppdrag X - Blåa böckerna Tema Starka försvar
"[""http://image.bokus.com/images2/9789163877384_small_mordarens-apa"", ""http://image.bokus.com/images2/9789163877384_small_mordarens-apa""]",http://www.bokus.com/bok/9789163877384/mordarens-apa/,Mördarens apa
"[""http://image.bokus.com/images2/9789163878145_small_mordarens-apa"", ""http://image.bokus.com/images2/9789163878145_small_mordarens-apa""]",http://www.bokus.com/bok/9789163878145/mordarens-apa/,Mördarens apa
"[""http://image.bokus.com/images2/9789175150468_small_tecken-i-skyn"", ""http://image.bokus.com/images2/9789175150468_small_tecken-i-skyn""]",http://www.bokus.com/bok/9789175150468/tecken-i-skyn/,Tecken i skyn
"[""http://image.bokus.com/images2/9781499110333_small_kaninen-som-sa-garna-ville-somna-en-annorlunda-godnattsaga"", ""http://image.bokus.com/images2/9781499110333_small_kaninen-som-sa-garna-ville-somna-en-annorlunda-godnattsaga""]",http://www.bokus.com/bok/9781499110333/kaninen-som-sa-garna-ville-somna-en-annorlunda-godnattsaga/,Kaninen SOM Sa Garna Ville Somna: En Annorlunda Godnattsaga
"[""http://image.bokus.com/images2/9788779162303_small_rolf-och-den-ryslige-riddar-roland"", ""http://image.bokus.com/images2/9788779162303_small_rolf-och-den-ryslige-riddar-roland""]",http://www.bokus.com/bok/9788779162303/rolf-och-den-ryslige-riddar-roland/,Rolf och den ryslige riddar Roland
"[""http://image.bokus.com/images2/9789129694284_small_fem-reser-till-havet"", ""http://image.bokus.com/images2/9789129694284_small_fem-reser-till-havet""]",http://www.bokus.com/bok/9789129694284/fem-reser-till-havet/,Fem reser till havet
